"","Title","Year","Rated","Released","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Ratings.Source","Ratings.Value","Ratings.Source.1","Ratings.Value.1","Ratings.Source.2","Ratings.Value.2","Metascore","imdbRating","imdbVotes","imdbID","Type","DVD","BoxOffice","Production","Website","Response","totalSeasons"
"38","Hidden Figures","2016","PG","06 Jan 2017","127 min","Biography, Drama, History","Theodore Melfi","Allison Schroeder (screenplay by), Theodore Melfi (screenplay by), Margot Lee Shetterly (based on the book by)","Taraji P. Henson, Octavia Spencer, Janelle Monáe, Kevin Costner","The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.","English","USA","Nominated for 3 Oscars. Another 36 wins & 81 nominations.","https://m.media-amazon.com/images/M/MV5BMzg2Mzg4YmUtNDdkNy00NWY1LWE3NmEtZWMwNGNlMzE5YzU3XkEyXkFqcGdeQXVyMjA5MTIzMjQ@._V1_SX300.jpg","Internet Movie Database","7.8/10","Rotten Tomatoes","93%","Metacritic","74/100","74","7.8","157,199","tt4846340","movie","11 Apr 2017","$169,385,416","20th Century Fox","http://HiddenFiguresMovie.com","True",NA
"39","A Monster Calls","2016","PG-13","06 Jan 2017","108 min","Animation, Drama, Fantasy","J.A. Bayona","Patrick Ness (screenplay by), Patrick Ness (based upon the novel written by), Siobhan Dowd (from an original idea by)","Lewis MacDougall, Sigourney Weaver, Felicity Jones, Toby Kebbell","A boy seeks the help of a tree monster to cope with his single mother's terminal illness.","English","UK, Spain, USA","38 wins & 51 nominations.","https://m.media-amazon.com/images/M/MV5BMTg1OTA5OTkyNV5BMl5BanBnXkFtZTgwODMwNDU5OTE@._V1_SX300.jpg","Internet Movie Database","7.5/10","Rotten Tomatoes","87%","Metacritic","76/100","76","7.5","64,986","tt3416532","movie","28 Mar 2017","$3,730,982","Focus Features","http://www.focusfeatures.com/amonstercalls","True",NA
"40","Patriots Day","2016","R","13 Jan 2017","133 min","Action, Crime, Drama","Peter Berg","Peter Berg (screenplay), Matt Cook (screenplay), Joshua Zetumer (screenplay), Peter Berg (story), Matt Cook (story), Paul Tamasy (story), Eric Johnson (story)","Mark Wahlberg, Dicky Eklund Jr., Michael Marchand, Rhet Kidd","The story of the 2013 Boston Marathon bombing and the aftermath, which includes the city-wide manhunt to find the terrorists responsible.","English, Chinese, Arabic","Hong Kong, USA","2 wins & 3 nominations.","https://m.media-amazon.com/images/M/MV5BODYxMDc0NTg2Nl5BMl5BanBnXkFtZTgwNjY0NDYzOTE@._V1_SX300.jpg","Internet Movie Database","7.4/10","Rotten Tomatoes","81%","Metacritic","69/100","69","7.4","69,716","tt4572514","movie","28 Mar 2017","$31,856,991","CBS Films","http://www.patriotsdayfilm.com/","True",NA
"41","Breaking Point: The War for Democracy in Ukraine","2017","N/A","14 Feb 2017","98 min","Documentary","Mark Jonathan Harris, Oles Sanin(co-director)","Mark Jonathan Harris, Paul Wolansky","N/A","BREAKING POINT: The War for Democracy in Ukraine looks at people transformed by a democratic revolution, who give up their normal lives to fight a Russian invasion, in a war which has killed 10,000 and displaced 1.9 million Ukrainians.","Ukrainian, English, Russian","Ukraine, USA","1 nomination.","https://ia.media-imdb.com/images/M/MV5BZTE0ZTlhNGYtMTAxNy00MzQzLTg4OTUtNmE0MGI0ZWVlOWIwXkEyXkFqcGdeQXVyNzM0MjkxMjE@._V1_SX300.jpg","Internet Movie Database","8.4/10","Metacritic","83/100",NA,NA,"83","8.4","37","tt6561394","movie","N/A","N/A","N/A","N/A","True",NA
"42","Liza, Liza, Skies Are Grey","2017","N/A","02 Feb 2017","86 min","Drama","Terry Sanders","Terry Sanders","Madison Iseman, Kristin Minter, Mikey Madison, Valarie Rae Miller","A coming-of-age California motorcycle road trip set in the 60's, combining elements of ""Romeo & Juliet"" and ""The Odyssey"".","English","USA","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BYjIyNzBhNzktYTUyNi00OWI3LTk5MDgtZDQ0MmVkN2QxOWJkXkEyXkFqcGdeQXVyNTgwMzgyOTg@._V1_SX300.jpg","Internet Movie Database","6.0/10","Rotten Tomatoes","22%","Metacritic","37/100","37","6.0","11","tt3766340","movie","N/A","N/A","Studio G Productions","http://lizalizamovie.com/","True",NA
"43","Get Out","2017","R","24 Feb 2017","104 min","Horror, Mystery, Thriller","Jordan Peele","Jordan Peele","Daniel Kaluuya, Allison Williams, Catherine Keener, Bradley Whitford","A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.","English","Japan, USA","Won 1 Oscar. Another 122 wins & 181 nominations.","https://m.media-amazon.com/images/M/MV5BMjUxMDQwNjcyNl5BMl5BanBnXkFtZTgwNzcwMzc0MTI@._V1_SX300.jpg","Internet Movie Database","7.7/10","Rotten Tomatoes","99%","Metacritic","84/100","84","7.7","334,637","tt5052448","movie","23 May 2017","$175,428,355","Universal Pictures","http://www.getoutfilm.com/","True",NA
"44","Dying Laughing","2016","NOT RATED","24 Feb 2017","89 min","Documentary, Comedy, Drama","Lloyd Stanton, Paul Toogood","N/A","Max Alexander, Stephen K. Amos, David A. Arnold, Dave Attell","The craft, creative process and complicated lives of stand-up comedians.","English","UK","N/A","https://m.media-amazon.com/images/M/MV5BMjQyMTY0NzMwOF5BMl5BanBnXkFtZTgwNjUzNzg4MDI@._V1_SX300.jpg","Internet Movie Database","6.7/10","Metacritic","73/100",NA,NA,"73","6.7","239","tt5068712","movie","N/A","N/A","N/A","N/A","True",NA
"45","As You Are","2016","N/A","24 Feb 2017","110 min","Drama, Mystery","Miles Joris-Peyrafitte","Madison Harrison, Miles Joris-Peyrafitte","Owen Campbell, Charlie Heaton, Amandla Stenberg, John Scurti","Set in the early 1990's, ""As You Are"" is the telling and retelling of a relationship between three teenagers as it traces the course of their friendship through a construction of disparate memories prompted by a police investigation.","English","USA","2 wins & 5 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BZWFiMjdjODktMWY4YS00MWU0LThiNDUtNDI4ODY0NzhhMGFkXkEyXkFqcGdeQXVyNjU1MjQzMjQ@._V1_SX300.jpg","Internet Movie Database","6.5/10","Rotten Tomatoes","65%","Metacritic","67/100","67","6.5","1,064","tt4444438","movie","N/A","N/A","Votiv Films","http://asyouaremovie.com/","True",NA
"46","Bitter Harvest","2017","R","23 Feb 2017","103 min","Drama, Romance, War","George Mendeluk","Richard Bachynsky Hoover (screenplay), George Mendeluk (screenplay), Richard Bachynsky Hoover (story)","Max Irons, Terence Stamp, Richard Brake, Aneurin Barnard","Set in 1930s Ukraine, as Stalin advances the ambitions of communists in the Kremlin, young artist Yuri battles to save his lover Natalka from the Holodomor, the death-by-starvation program that ultimately killed millions of Ukrainians.","English, Russian","Canada","3 nominations.","https://m.media-amazon.com/images/M/MV5BMTkwMTczNzUxNV5BMl5BanBnXkFtZTgwNzA4Mjc2MDI@._V1_SX300.jpg","Internet Movie Database","6.1/10","Rotten Tomatoes","14%","Metacritic","34/100","34","6.1","2,800","tt3182620","movie","13 Jun 2017","$557,004","Devil's Harvest Production","http://www.bitterharvestfilm.com/","True",NA
"47","My Life as a Zucchini","2016","PG-13","24 Feb 2017","70 min","Animation, Comedy, Drama","Claude Barras","Céline Sciamma (screenplay writer), Germano Zullo (contributing writer), Claude Barras (contributing writer), Morgan Navarro (contributing writer), Gilles Paris (novel), Michael Sinterniklaas (english script adaptation), Christian La Monte (english script adaptation)","Gaspard Schlatter, Sixtine Murat, Paulin Jaccoud, Michel Vuillermoz","After losing his mother, a young boy is sent to a foster home with other orphans his age where he begins to learn the meaning of trust and true love.","French, English","Switzerland, France","Nominated for 1 Oscar. Another 20 wins & 18 nominations.","https://m.media-amazon.com/images/M/MV5BMGZhZTMxNWItZDU1Yi00NmM4LTk3NzktZGU5Nzk0ZjdlZjQ4XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg","Internet Movie Database","7.8/10","Rotten Tomatoes","98%","Metacritic","85/100","85","7.8","14,992","tt2321405","movie","23 May 2017","$279,912","Rita Productions","http://mylifeasazucchini.com/","True",NA
"48","Rock Dog","2016","PG","24 Feb 2017","90 min","Animation, Adventure, Comedy, Family, Music","Ash Brannon","Ash Brannon (screenplay by), Kurt Voelker (screenplay by), Ash Brannon (story by), Jun Zheng (story by), Jun Zheng (based on the graphic novel ""Tibetan Rock Dog"" by), Denise Bradley (additional story material), Vincente DiSanti (additional story material), Will Finn (additional story material), Carolyn Gair (additional story material), Nicole McMath (additional story material), Josh Zinman (additional story material)","Luke Wilson, Eddie Izzard, J.K. Simmons, Lewis Black","When a radio falls from the sky into the hands of a wide-eyed Tibetan Mastiff, he leaves home to fulfill his dream of becoming a musician, setting into motion a series of completely unexpected events.","English","China, USA","2 nominations.","https://m.media-amazon.com/images/M/MV5BMjA5MTAwMzM3OF5BMl5BanBnXkFtZTgwNTk4NjYyMTI@._V1_SX300.jpg","Internet Movie Database","5.9/10","Metacritic","48/100",NA,NA,"48","5.9","3,540","tt2822672","movie","N/A","N/A","N/A","N/A","True",NA
"49","From Nowhere","2016","N/A","17 Feb 2017","89 min","Drama","Matthew Newton","Matthew Newton, Kate Ballen","Sydni Beaudoin, Helen Beyene, Erica Camarano, Joseph Castillo-Midyett","Three undocumented Bronx teenagers are graduating from high school while navigating the treacherous waters of trying to get their papers to stay in the US.","English","USA","4 wins & 3 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTYyOTE1NTMyNF5BMl5BanBnXkFtZTgwOTE3MjQzMTI@._V1_SX300.jpg","Internet Movie Database","7.2/10","Rotten Tomatoes","92%","Metacritic","75/100","75","7.2","49","tt5447816","movie","20 Mar 2017","$5,408","No Place for Films","N/A","True",NA
"50","Lovesong","2016","NOT RATED","17 Feb 2017","84 min","Drama, Romance","So Yong Kim","So Yong Kim, Bradley Rust Gray","Riley Keough, Jessie Ok Gray, Cary Joji Fukunaga, Jena Malone","The relationship between two friends deepens during an impromptu road trip.","English","USA","1 win & 3 nominations.","https://ia.media-imdb.com/images/M/MV5BMTU2MDg1MTc1Nl5BMl5BanBnXkFtZTgwNzI5OTQwMTI@._V1_SX300.jpg","Internet Movie Database","6.4/10","Rotten Tomatoes","81%","Metacritic","74/100","74","6.4","2,512","tt4305148","movie","N/A","$10,545","Strand Releasing","http://www.strandreleasing.com/films/lovesong/","True",NA
"51","Fist Fight","2017","R","17 Feb 2017","91 min","Comedy","Richie Keen","Van Robichaux (screenplay by), Evan Susser (screenplay by), Van Robichaux (story by), Evan Susser (story by), Max Greenfield (story by)","Charlie Day, Ice Cube, Tracy Morgan, Jillian Bell","When one school teacher unwittingly causes another teacher's dismissal, he is challenged to an after-school fight.","English","USA","1 win.","https://m.media-amazon.com/images/M/MV5BMTg0NzkyMjE5NF5BMl5BanBnXkFtZTgwMDE5NTg3MDI@._V1_SX300.jpg","Internet Movie Database","5.6/10","Rotten Tomatoes","26%","Metacritic","37/100","37","5.6","31,648","tt3401882","movie","30 May 2017","$32,153,522","Warner Bros. Pictures","http://fistfightmovie.com/","True",NA
"52","American Fable","2016","NOT RATED","17 Feb 2017","96 min","Thriller","Anne Hamilton","Anne Hamilton","Peyton Kennedy, Richard Schiff, Kip Pardue, Marci Miller","After 11-year-old Gitty discovers a man who can grant wishes hiding in her family's silo, she is forced to choose between saving the man's life and protecting her family.","English","USA","3 wins & 2 nominations.","https://m.media-amazon.com/images/M/MV5BM2ExZWJkYjctNzQwZi00YWExLWI1MDQtMDlkYzM0OTI5MTYzXkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_SX300.jpg","Internet Movie Database","6.3/10","Rotten Tomatoes","73%","Metacritic","55/100","55","6.3","3,844","tt4671002","movie","11 Jul 2017","N/A","IFC Midnight","http://www.americanfable.com/","True",NA
"53","How Heavy This Hammer","2015","N/A","17 Feb 2017","75 min","Drama","Kazik Radwanski","Kazik Radwanski","Erwin Van Cotthem, Kate Ashley, Seth Kirsh, April Skye","Erwin (Erwin van Cotthem), a family man who spends most of his time playing computer games, makes a drastic shift in his life when he suddenly decides to leave his wife, yet finds himself in the same rut as before.","English","Canada","1 nomination.","https://images-na.ssl-images-amazon.com/images/M/MV5BMjM3OTA5MTEwNl5BMl5BanBnXkFtZTgwMzI3NzI4NjE@._V1_SX300.jpg","Internet Movie Database","6.7/10","Rotten Tomatoes","82%","Metacritic","47/100","47","6.7","62","tt4935190","movie","N/A","N/A","Medium Density Fibreboard Films","N/A","True",NA
"54","Keep Quiet","2016","N/A","14 Apr 2016","90 min","Documentary","Sam Blair, Joe Martin","N/A","Csanad Szegedi","An anti-Semitic far-right politician's astonishing transformation after finding out he is Jewish.","English, Hungarian, German","UK, Hungary","3 nominations.","https://m.media-amazon.com/images/M/MV5BMzY1ZTlmMjQtYjJkYS00ZmYyLTkwNGEtMjg3ODI4MWQ0YzRlXkEyXkFqcGdeQXVyMjQ3NzUxOTM@._V1_SX300.jpg","Internet Movie Database","6.7/10","Rotten Tomatoes","100%","Metacritic","76/100","76","6.7","241","tt4789160","movie","N/A","$50,451","Kino Lorber","http://keepquietmovie.com/","True",NA
"55","My Name Is Emily","2015","N/A","17 Feb 2017","94 min","Drama","Simon Fitzmaurice","Simon Fitzmaurice","Evanna Lynch, George Webster, Michael Smiley, Deirdre Mullins","On her 16th birthday, Emily runs away from her foster home and, with the help of her new friend Arden, sets out on a road trip to break her father out of a psychiatric institution.","English","Ireland","5 wins & 9 nominations.","https://m.media-amazon.com/images/M/MV5BN2I1OWFiY2EtMWRhZC00NTg2LTkzMjgtNjkwMjFjY2EzY2Y4XkEyXkFqcGdeQXVyMjQ1NDQyNjQ@._V1_SX300.jpg","Internet Movie Database","6.9/10","Rotten Tomatoes","89%","Metacritic","55/100","55","6.9","578","tt3319018","movie","N/A","N/A","Newgrange Pictures","http://www.mynameisemilythefilm.com/","True",NA
"56","Everybody Loves Somebody","2017","PG-13","17 Feb 2017","102 min","Comedy, Romance","Catalina Aguilar Mastretta","Catalina Aguilar Mastretta","Karla Souza, José María Yazpik, Ben O'Toole, Alejandro Camacho","A successful and single career woman asks her co-worker to pose as her boyfriend at a family wedding back home in Mexico. Her situation gets complicated when her ex shows up at the ceremony.","English, Spanish","Mexico","2 nominations.","https://m.media-amazon.com/images/M/MV5BMTc0MzM3MjY5NF5BMl5BanBnXkFtZTgwMjU5NDg4MDI@._V1_SX300.jpg","Internet Movie Database","6.5/10","Rotten Tomatoes","93%","Metacritic","74/100","74","6.5","2,822","tt5537228","movie","20 Jun 2017","$1,906,294","Pantelion Films","https://www.facebook.com/EverybodyLoves/","True",NA
"57","The Great Wall","2016","PG-13","17 Feb 2017","103 min","Action, Adventure, Fantasy","Yimou Zhang","Carlo Bernard (screenplay), Doug Miro (screenplay), Tony Gilroy (screenplay), Max Brooks (story), Edward Zwick (story), Marshall Herskovitz (story)","Matt Damon, Tian Jing, Willem Dafoe, Andy Lau","European mercenaries searching for black powder become embroiled in the defense of the Great Wall of China against a horde of monstrous creatures.","English, Mandarin, Spanish","USA, China, Hong Kong, Australia, Canada","1 win & 1 nomination.","https://m.media-amazon.com/images/M/MV5BMjA3MjAzOTQxNF5BMl5BanBnXkFtZTgwOTc5OTY1OTE@._V1_SX300.jpg","Internet Movie Database","6.0/10","Rotten Tomatoes","35%","Metacritic","42/100","42","6.0","102,710","tt2034800","movie","23 May 2017","$45,125,480","Universal Pictures","http://www.thegreatwallmovie.com/","True",NA
"58","A Cure for Wellness","2016","R","17 Feb 2017","146 min","Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller","Gore Verbinski","Justin Haythe (screenplay by), Justin Haythe (story by), Gore Verbinski (story by)","Dane DeHaan, Jason Isaacs, Mia Goth, Ivo Nandi","An ambitious young executive is sent to retrieve his company's CEO from an idyllic but mysterious ""wellness center"" at a remote location in the Swiss Alps, but soon suspects that the spa's treatments are not what they seem.","English, German","USA, Germany","4 wins & 5 nominations.","https://m.media-amazon.com/images/M/MV5BMTg5Njg1MzIwNl5BMl5BanBnXkFtZTgwNDU1NjczMDI@._V1_SX300.jpg","Internet Movie Database","6.4/10","Rotten Tomatoes","41%","Metacritic","47/100","47","6.4","64,581","tt4731136","movie","06 Jun 2017","$8,103,139","20th Century Fox","http://www.acureforwellness.com","True",NA
"59","Kedi","2016","NOT RATED","10 Feb 2017","79 min","Documentary","Ceyda Torun","N/A","Bengu, Deniz, Duman, Gamsiz","A profile of an ancient city and its unique people, seen through the eyes of the most mysterious and beloved animal humans have ever known, the Cat.","Turkish","Turkey, USA","4 wins & 19 nominations.","https://m.media-amazon.com/images/M/MV5BMjEwNTM2NDE0Nl5BMl5BanBnXkFtZTgwMzMzNTc4MDI@._V1_SX300.jpg","Internet Movie Database","7.7/10","Metacritic","78/100",NA,NA,"78","7.7","9,502","tt4420704","movie","N/A","N/A","N/A","N/A","True",NA
"60","A United Kingdom","2016","PG-13","10 Feb 2017","111 min","Biography, Drama, Romance","Amma Asante","Guy Hibbert (screenplay by), Susan Williams (based upon the book 'Colour Bar' by)","David Oyelowo, Rosamund Pike, Tom Felton, Jack Davenport","The story of King Seretse Khama of Botswana and how his loving but controversial marriage to a British white woman, Ruth Williams, put his kingdom into political and diplomatic turmoil.","Tswana, English","Czech Republic, UK, USA, France","1 win & 4 nominations.","https://m.media-amazon.com/images/M/MV5BNDUyNzE1MTAxNF5BMl5BanBnXkFtZTgwODU1Mzk5OTE@._V1_SX300.jpg","Internet Movie Database","6.8/10","Rotten Tomatoes","84%","Metacritic","65/100","65","6.8","10,741","tt3387266","movie","06 Jun 2017","$3,901,302","Harbinger Pictures","http://www.aunitedkingdomfilm.com/","True",NA
"61","I am Jane Doe","2017","N/A","10 Feb 2017","98 min","Documentary","Mary Mazzio","Jonathan Alter (story), Bob Fitzgerald (story), Jay Manson (story), Mary Mazzio, Alec Sokolow (story)","Jessica Chastain, John McCain","The epic battle that several American mothers are waging on behalf of their middle-school daughters, victims of sex trafficking on Backpage.com, the adult classifieds section that for years...","English","USA","1 win.","https://m.media-amazon.com/images/M/MV5BZjllZGIyNTctODNhYS00MGVhLWEwMTgtYTUwOWUzNWVjMjAzL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNDQ0MDY1MQ@@._V1_SX300.jpg","Internet Movie Database","6.9/10","Rotten Tomatoes","91%","Metacritic","69/100","69","6.9","993","tt6398054","movie","N/A","N/A","50 Eggs Films","http://www.iamjanedoefilm.com/","True",NA
